Day of Week,Day,Water Intake (L)
Monday,Day 1,1.5
Tuesday,Day 1,2.1
Wednesday,Day 1,1.8
Thursday,Day 1,2.3
Friday,Day 1,2.0
Saturday,Day 1,1.6
Sunday,Day 1,1.4
Monday,Day 2,1.9
Tuesday,Day 2,2.5
Wednesday,Day 2,2.2
Thursday,Day 2,2.8
Friday,Day 2,2.4
Saturday,Day 2,1.8
Sunday,Day 2,1.6
Monday,Day 3,2.0
Tuesday,Day 3,2.6
Wednesday,Day 3,2.3
Thursday,Day 3,3.1
Friday,Day 3,2.7
Saturday,Day 3,2.1
Sunday,Day 3,1.9
Monday,Day 4,2.3
Tuesday,Day 4,2.8
Wednesday,Day 4,2.6
Thursday,Day 4,3.4
Friday,Day 4,2.9
Saturday,Day 4,2.3
Sunday,Day 4,2.0
Monday,Day 5,2.4
Tuesday,Day 5,3.0
Wednesday,Day 5,2.7
Thursday,Day 5,3.6
Friday,Day 5,3.1
Saturday,Day 5,2.5
Sunday,Day 5,2.2
Monday,Day 6,2.6
Tuesday,Day 6,3.3
Wednesday,Day 6,3.0
Thursday,Day 6,3.8
Friday,Day 6,3.4
Saturday,Day 6,2.7
Sunday,Day 6,2.4
Monday,Day 7,1.5
Tuesday,Day 7,2.0
Wednesday,Day 7,1.8
Thursday,Day 7,2.4
Friday,Day 7,2.2
Saturday,Day 7,1.7
Sunday,Day 7,1.5
Monday,Day 8,1.3
Tuesday,Day 8,1.8
Wednesday,Day 8,1.6
Thursday,Day 8,2.2
Friday,Day 8,2.0
Saturday,Day 8,1.5
Sunday,Day 8,1.3
Monday,Day 9,1.7
Tuesday,Day 9,2.3
Wednesday,Day 9,2.0
Thursday,Day 9,2.6
Friday,Day 9,2.4
Saturday,Day 9,1.9
Sunday,Day 9,1.7
