Skill,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
Problem Solving,15,18,20,22,24,26,28,30,30,28,26
Communication,20,22,25,28,30,32,34,36,36,34,32
Teamwork,18,20,22,24,26,28,30,32,32,30,28
Time Management,22,25,28,30,32,34,36,38,38,36,34
Adaptability,25,28,30,32,34,36,38,40,40,38,36
Creativity,28,30,32,34,36,38,40,42,42,40,38
Leadership,26,28,30,32,34,36,38,38,38,36,34
Decision Making,24,26,28,30,32,34,36,38,36,34,32
Critical Thinking,22,24,26,28,30,32,34,36,36,34,32
Negotiation,20,22,24,26,28,30,32,34,34,32,30
Conflict Resolution,18,20,22,24,26,28,30,32,32,30,28
